Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Literature,1935
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Physics,1934
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,Chemistry,1933
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Peace Prize,1932
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Physics,1931
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Peace Prize,1928
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Physiology or Medicine,1925
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Chemistry,1924
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Peace Prize,1924
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Peace Prize,1923
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Physiology or Medicine,1921
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Chemistry,1919
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Physiology or Medicine,1918
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Literature,1918
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Peace Prize,1918
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Chemistry,1917
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Physiology or Medicine,1917
Comité international de la Croix Rouge (International Committee of the Red Cross),“for the efforts to take care of wounded soldiers and prisoners of war and their families”,Peace Prize,1917
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Physics,1916
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Chemistry,1916
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Physiology or Medicine,1916
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Peace Prize,1916
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Physiology or Medicine,1915
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Peace Prize,1915
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Literature,1914
Record not found / Not awarded,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Peace Prize,1914
Bureau international permanent de la Paix (Permanent International Peace Bureau),"“for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement”",Peace Prize,1910
Institut de droit international (Institute of International Law),“for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane”,Peace Prize,1904
